"","member_casual","day_of_week","number_of_rides","average_duration"
"1","casual","Sunday",18652,84.3550727357209
"2","casual","Monday",5591,79.2008406367376
"3","casual","Tuesday",7311,76.0300642866913
"4","casual","Wednesday",7690,74.6728738621587
"5","casual","Thursday",7147,140.861114220419
"6","casual","Friday",8013,101.512288364741
"7","casual","Saturday",13473,82.5128466810164
"8","member","Sunday",60197,16.2156389299577
"9","member","Monday",110430,13.7051866944369
"10","member","Tuesday",127974,12.8240271461391
"11","member","Wednesday",121902,11.8663965042958
"12","member","Thursday",125228,11.7868212380618
"13","member","Friday",115168,13.2788964816616
"14","member","Saturday",59413,16.2345493971577
